sim_day,date,T_min_C,T_max_C,T_mean_C,RH_min,RH_max,RH_mean,wind_mean_kmh,wind_max_kmh
1,2023-05-01,7.3,16.3,11.8,61,95,80,6.0,22.3
2,2023-05-02,1.6,13.0,9.5,60,96,83,7.4,28.8
3,2023-05-03,-0.5,18.2,9.2,38,100,70,4.6,23.4
4,2023-05-04,3.9,22.2,14.5,36,90,63,10.1,40.2
5,2023-05-05,9.6,20.2,14.9,64,98,83,4.4,26.9
6,2023-05-06,6.9,19.4,13.8,62,100,88,4.0,29.4
7,2023-05-07,12.0,21.4,15.2,57,100,90,5.0,23.6
8,2023-05-08,12.7,18.8,15.1,78,100,92,6.8,23.4
9,2023-05-09,12.0,19.8,15.3,68,97,88,5.5,25.3
10,2023-05-10,10.3,15.1,12.6,83,100,94,4.2,24.3
11,2023-05-11,8.2,15.0,12.1,80,100,92,4.5,19.7
12,2023-05-12,9.1,16.8,13.3,70,100,89,6.5,29.3
13,2023-05-13,7.2,19.1,12.4,59,100,90,6.2,37.3
14,2023-05-14,5.2,19.4,13.7,54,100,80,4.2,20.7
15,2023-05-15,10.1,18.0,13.6,57,95,83,9.3,35.1
16,2023-05-16,7.4,13.9,10.2,58,100,80,10.4,33.2
17,2023-05-17,3.3,14.5,9.8,52,98,77,6.7,28.1
18,2023-05-18,0.9,17.9,9.9,44,100,75,4.6,27.2
19,2023-05-19,2.7,19.8,12.5,38,100,70,4.6,25.2
20,2023-05-20,5.7,18.5,13.0,65,97,81,6.1,29.4
21,2023-05-21,10.4,23.0,17.0,67,95,84,5.4,19.0
22,2023-05-22,13.8,20.9,17.7,79,98,88,6.9,26.1
23,2023-05-23,7.5,16.1,13.2,63,96,83,9.0,32.4
24,2023-05-24,4.0,14.0,9.6,65,97,81,5.5,26.4
25,2023-05-25,3.1,18.0,11.6,60,100,80,5.1,25.3
26,2023-05-26,5.4,19.8,12.3,52,99,79,5.8,26.9
27,2023-05-27,3.6,23.5,14.2,34,100,69,3.4,21.6
28,2023-05-28,5.1,24.8,16.3,34,100,66,3.7,18.9
29,2023-05-29,10.4,21.2,15.6,56,90,71,6.2,27.7
30,2023-05-30,8.1,21.0,14.5,45,93,67,5.1,23.7
31,2023-05-31,7.6,25.5,17.4,34,100,67,4.6,28.2
32,2023-06-01,9.5,21.5,15.3,49,97,77,6.2,27.4
33,2023-06-02,7.5,19.9,13.7,49,93,71,5.7,22.8
34,2023-06-03,5.5,22.9,15.5,35,99,61,5.1,24.1
35,2023-06-04,4.4,24.1,15.7,29,97,60,3.8,22.9
36,2023-06-05,5.8,25.3,16.7,34,96,63,3.5,19.4
37,2023-06-06,9.4,25.9,18.4,37,91,66,4.2,23.9
38,2023-06-07,10.8,21.8,16.7,70,98,83,4.2,22.2
39,2023-06-08,11.3,25.4,18.9,49,100,77,3.9,32.0
40,2023-06-09,10.2,28.4,20.3,39,100,67,6.3,28.9
41,2023-06-10,11.1,29.3,21.8,31,97,60,4.8,22.4
42,2023-06-11,12.8,28.6,21.9,36,92,61,6.9,28.5
43,2023-06-12,10.3,28.2,20.7,32,92,59,5.8,26.9
44,2023-06-13,11.7,26.5,20.1,31,86,53,5.9,25.6
45,2023-06-14,8.8,23.9,17.9,37,94,60,5.3,27.5
46,2023-06-15,7.9,26.6,18.1,30,97,62,3.3,25.3
47,2023-06-16,8.1,26.6,18.6,33,96,60,3.4,20.8
48,2023-06-17,8.8,27.4,19.4,33,94,59,3.5,24.0
49,2023-06-18,11.0,30.2,22.2,32,87,56,4.6,17.2
50,2023-06-19,18.8,29.1,23.2,41,80,62,3.9,20.6
51,2023-06-20,16.7,30.1,23.5,46,94,71,4.4,30.2
52,2023-06-21,15.4,27.1,21.8,56,96,77,3.0,23.5
53,2023-06-22,17.0,25.2,20.2,75,100,92,5.2,41.5
54,2023-06-23,14.6,24.7,19.5,50,99,78,7.2,32.3
55,2023-06-24,13.0,28.0,21.3,46,99,72,2.8,16.2
56,2023-06-25,13.2,30.1,23.2,41,97,64,4.6,21.8
57,2023-06-26,13.5,23.8,19.8,46,90,65,6.4,29.7
58,2023-06-27,12.2,23.5,18.6,44,93,63,5.0,30.7
59,2023-06-28,13.7,23.9,17.8,59,97,80,1.7,10.7
60,2023-06-29,13.4,26.1,20.1,51,99,80,3.3,19.4
61,2023-06-30,12.6,21.8,17.0,47,100,77,5.1,27.0
62,2023-07-01,14.2,21.2,17.4,65,97,82,5.0,21.6
63,2023-07-02,12.4,22.1,17.7,49,97,70,5.3,21.6
64,2023-07-03,11.6,23.0,17.2,46,84,64,5.8,38.3
65,2023-07-04,11.0,23.5,18.3,40,91,67,3.9,25.2
66,2023-07-05,9.6,20.3,16.3,46,100,75,9.1,37.7
67,2023-07-06,8.7,24.4,17.4,37,97,65,3.5,18.6
68,2023-07-07,7.9,30.0,19.9,27,100,62,3.9,19.1
69,2023-07-08,12.8,35.4,24.8,28,91,56,3.7,16.3
70,2023-07-09,16.6,35.8,24.6,30,99,72,3.6,37.7
71,2023-07-10,14.4,28.0,21.9,43,99,73,3.8,22.3
72,2023-07-11,14.6,34.1,25.5,29,91,57,5.1,22.2
73,2023-07-12,15.1,26.5,21.4,37,90,60,5.3,29.2
74,2023-07-13,10.6,24.1,18.3,40,91,63,4.4,24.4
75,2023-07-14,10.6,28.9,21.5,34,96,57,4.6,25.8
76,2023-07-15,17.5,26.3,23.0,42,95,64,8.5,36.4
77,2023-07-16,15.3,25.9,20.7,35,83,54,7.1,37.6
78,2023-07-17,9.5,26.1,18.5,36,98,62,4.2,27.9
79,2023-07-18,8.2,27.7,19.1,34,100,64,3.1,14.4
80,2023-07-19,10.4,25.4,18.7,41,93,67,4.5,28.5
81,2023-07-20,11.4,24.2,18.3,41,100,72,3.8,19.5
82,2023-07-21,12.1,20.6,15.7,63,100,83,4.1,26.2
83,2023-07-22,8.3,24.5,18.0,33,99,61,5.6,31.0
