sim_day,date,T_min_C,T_max_C,T_mean_C,RH_min,RH_max,RH_mean,wind_mean_kmh,wind_max_kmh
1,2024-05-01,12.2,24.8,18.0,60,94,78,10.1,15.3
2,2024-05-02,12.4,23.3,16.8,56,93,79,11.3,24.8
3,2024-05-03,8.6,14.4,11.5,56,93,79,19.1,26.6
4,2024-05-04,6.1,17.2,11.4,55,96,80,9.4,17.9
5,2024-05-05,8.4,16.7,12.6,52,95,75,12.0,18.9
6,2024-05-06,9.9,15.9,13.0,83,97,91,5.8,10.7
7,2024-05-07,10.6,17.8,13.4,59,98,86,7.2,15.6
8,2024-05-08,8.6,15.6,12.2,65,98,84,9.1,14.0
9,2024-05-09,6.7,19.3,13.6,48,99,77,5.0,10.4
10,2024-05-10,7.7,21.3,15.2,49,98,75,5.8,9.5
11,2024-05-11,9.5,22.4,16.5,45,92,71,8.5,15.2
12,2024-05-12,11.7,23.9,17.9,45,85,67,13.7,18.2
13,2024-05-13,13.4,22.6,18.1,52,92,73,8.3,16.1
14,2024-05-14,13.9,24.5,19.0,46,93,75,13.4,19.5
15,2024-05-15,12.9,17.7,15.5,78,99,89,6.9,11.4
16,2024-05-16,12.2,20.1,15.9,57,99,82,9.3,15.8
17,2024-05-17,11.9,17.7,14.6,73,99,91,11.9,18.9
18,2024-05-18,12.6,19.9,15.5,57,100,85,11.7,15.8
19,2024-05-19,11.6,19.4,14.6,69,98,87,10.3,15.9
20,2024-05-20,11.7,19.4,15.4,62,98,82,6.0,10.3
21,2024-05-21,11.2,21.0,15.6,67,96,86,10.8,23.0
22,2024-05-22,12.6,18.8,15.4,54,94,76,16.0,23.0
23,2024-05-23,11.7,19.5,15.9,53,88,70,10.3,15.0
24,2024-05-24,11.4,15.4,13.7,87,95,92,8.8,14.5
25,2024-05-25,11.6,18.1,14.8,63,93,81,12.4,19.5
26,2024-05-26,11.1,22.2,16.4,51,93,78,11.5,19.8
27,2024-05-27,11.5,18.6,14.7,57,92,81,9.4,13.6
28,2024-05-28,9.4,19.0,14.1,49,92,76,14.8,20.2
29,2024-05-29,11.3,17.8,15.2,69,96,84,16.5,26.4
30,2024-05-30,10.9,18.0,14.5,64,98,80,10.7,18.3
31,2024-05-31,10.6,18.0,14.5,65,95,81,10.9,13.1
32,2024-06-01,12.6,19.3,15.8,77,97,89,13.4,18.6
33,2024-06-02,10.6,17.6,14.6,65,94,79,14.1,17.4
34,2024-06-03,9.1,15.6,12.9,60,92,75,7.6,11.2
35,2024-06-04,12.1,19.9,16.3,54,83,69,8.9,19.6
36,2024-06-05,11.4,16.8,14.1,59,87,75,12.7,20.1
37,2024-06-06,8.0,18.3,13.6,44,87,67,10.3,18.4
38,2024-06-07,9.4,19.5,14.6,45,88,68,8.2,13.0
39,2024-06-08,9.2,20.7,14.7,41,91,71,12.9,22.6
40,2024-06-09,9.1,19.0,14.1,41,96,66,10.1,17.2
41,2024-06-10,9.0,14.3,11.7,67,89,77,20.1,39.5
42,2024-06-11,8.1,15.4,11.7,49,91,72,15.2,18.9
43,2024-06-12,7.2,15.0,11.3,55,94,75,11.9,17.5
44,2024-06-13,6.1,18.1,13.7,45,93,65,8.7,13.8
45,2024-06-14,13.8,19.9,16.7,58,82,68,14.8,24.0
46,2024-06-15,13.1,18.0,15.4,45,86,65,22.3,32.8
47,2024-06-16,13.3,18.0,15.3,62,87,75,16.8,23.8
48,2024-06-17,12.3,20.4,16.9,63,93,78,10.3,18.1
49,2024-06-18,12.4,21.6,17.5,75,97,88,8.2,14.4
50,2024-06-19,13.7,20.0,16.7,62,96,79,11.3,14.5
51,2024-06-20,11.3,21.2,16.9,64,96,83,9.0,13.7
52,2024-06-21,14.1,22.5,17.5,75,99,89,11.3,23.8
53,2024-06-22,12.6,19.5,16.2,59,92,78,11.3,15.8
